MeasurementDateGMT,NO,NO2,NOX
2020-04-26,68.97,406.91,512.61
2020-05-03,86.79,370.64,503.65
2020-05-10,43.31,340.16,406.5
2020-05-17,71.9,365.91,476.18
2020-05-24,73.43,341.77,454.49
2020-05-31,40.26,353.28,415.05
2020-06-07,99.0,419.43,571.47
2020-06-14,69.84,334.84,441.83
2020-06-21,103.19,385.0,543.14
2020-06-28,71.93,371.86,482.05
2020-07-05,121.96,270.29,457.34
2020-07-12,175.79,424.11,693.63
2020-07-19,150.01,434.43,664.51
2020-07-26,120.61,347.48,532.39
2020-08-02,111.87,316.11,487.63
2020-08-09,90.99,358.39,497.54
2020-08-16,72.13,346.96,457.81
2020-08-23,137.97,315.2,526.92
2020-08-30,156.01,382.8,621.92
2020-09-06,171.06,487.94,750.33
2020-09-13,175.11,486.31,754.56
2020-09-20,327.92,438.44,941.14
2020-09-27,146.71,504.84,729.63
2020-10-04,194.2,519.15,816.82
2020-10-11,218.86,566.99,902.53
2020-10-18,280.77,762.13,1192.61
2020-10-25,146.53,485.52,710.13
2020-11-01,166.54,426.26,681.44
2020-11-08,615.13,877.51,1820.7
2020-11-15,145.7,455.77,679.13
2020-11-22,204.05,517.44,830.26
2020-11-29,424.93,841.46,1493.03
2020-12-06,317.96,757.25,1244.85
2020-12-13,340.86,728.27,1250.57
2020-12-20,180.36,509.19,785.84
2020-12-27,142.37,451.33,669.76
2021-01-03,355.0,758.3,1302.61
2021-01-10,315.1,685.21,1168.17
2021-01-17,328.26,674.69,1177.91
2021-01-24,181.86,530.01,808.89
2021-01-31,206.1,593.27,909.24
2021-02-07,159.51,492.79,737.47
2021-02-14,51.31,360.56,439.21
2021-02-21,145.99,411.74,635.43
2021-02-28,254.91,737.66,1128.6
2021-03-07,212.87,664.81,991.1
2021-03-14,197.54,440.26,743.05
2021-03-21,223.89,720.24,1063.41
2021-03-28,161.7,496.21,744.03
2021-04-04,191.83,589.89,884.22
2021-04-11,144.83,505.87,727.86
2021-04-18,175.06,644.63,912.97
2021-04-25,100.81,458.63,613.29
2021-05-02,92.61,577.83,719.93
2021-05-09,102.24,420.77,577.49
2021-05-16,68.98,401.45,507.18
2021-05-23,144.62,457.84,678.8
2021-05-30,103.46,471.03,629.74
2021-06-06,47.89,489.11,562.44
2021-06-13,64.13,394.57,492.86
2021-06-20,41.96,320.41,384.76
2021-06-27,160.89,306.51,553.39
2021-07-04,140.7,240.63,456.2
