MeasurementDateGMT,Greenwich - Trafalgar Road (Hoskins St): Nitric Oxide (ug/m3),Greenwich - Trafalgar Road (Hoskins St): Nitrogen Dioxide (ug/m3),Greenwich - Trafalgar Road (Hoskins St): Oxides of Nitrogen (ug/m3),Greenwich - Trafalgar Road (Hoskins St): PM10 Particulate (ug/m3)
2018-03-24,426.0,1180.0,1831.0,705.5
2018-03-25,610.0,1298.0,2231.0,823.5
2018-03-26,677.0,1509.0,2547.0,544.3
2018-03-27,944.0,1376.0,2823.0,481.7
2018-03-28,1483.0,1865.0,4139.0,351.0999999999999
2018-03-29,988.0,1284.0,2803.0,380.90000000000003
2018-03-30,344.0,1039.0,1567.0,333.09999999999997
2018-03-31,476.0,867.0,1592.0,242.10000000000002
2018-04-01,307.0,744.0,1218.0,356.1000000000001
2018-04-02,339.0,637.0,1157.0,315.49999999999994
2018-04-03,519.0,849.0,1646.0,413.5999999999999
2018-04-04,456.0,723.0,1418.0,371.70000000000005
2018-04-05,462.0,736.5,1443.0,168.80000000000004
2018-04-06,640.0,1042.0,2021.0,468.20000000000005
2018-04-07,778.0,1309.0,2503.0,699.8000000000001
2018-04-08,354.0,1103.0,1644.0,390.9
2018-04-09,255.0,1054.0,1448.0,557.4
2018-04-10,277.0,1300.0,1730.0,733.4
2018-04-11,141.0,870.0,1087.0,927.2000000000002
2018-04-12,141.0,671.0,888.0,728.9
2018-04-13,1053.0,1299.0,2911.0,624.1
2018-04-14,659.0,1240.0,2251.0,872.6000000000001
2018-04-15,311.0,894.0,1366.0,663.6999999999999
2018-04-16,517.0,878.0,1674.0,477.49999999999994
2018-04-17,413.0,788.0,1427.0,429.2
2018-04-18,583.0,1242.0,2141.0,583.0
2018-04-19,1208.0,1910.0,3760.0,1264.2499999999995
2018-04-20,828.0,1545.0,2812.0,882.2
2018-04-21,346.0,1397.0,1927.0,1104.6000000000001
2018-04-22,323.0,1032.0,1527.0,923.0
2018-04-23,790.0,1107.0,2313.0,441.7
2018-04-24,681.0,870.0,1913.0,376.80000000000007
2018-04-25,851.0,1102.0,2410.0,402.59999999999997
2018-04-26,854.0,1133.0,2441.0,510.2
2018-04-27,619.0,1190.0,2135.0,403.99999999999994
2018-04-28,33.0,559.0,609.0,235.1
2018-04-29,30.0,337.0,382.0,256.9
2018-04-30,182.0,669.0,947.0,348.59999999999997
2018-05-01,1201.0,1298.0,3143.0,414.30000000000007
2018-05-02,778.0,1111.0,2301.0,282.50000000000006
2018-05-03,1111.0,1362.0,3065.0,470.9000000000001
2018-05-04,792.0,1242.0,2450.0,561.8
2018-05-05,608.0,1369.0,2299.0,716.0
2018-05-06,269.0,1217.0,1630.0,871.0000000000001
2018-05-07,350.0,1560.0,2097.0,969.6
2018-05-08,1287.0,1939.0,3907.0,947.3000000000001
2018-05-09,853.0,1197.0,2504.0,576.4000000000001
2018-05-10,600.0,1047.0,1965.0,425.1000000000001
2018-05-11,482.0,875.0,1610.0,499.6
2018-05-12,749.0,1368.0,2514.0,431.6
2018-05-13,651.0,1166.0,2157.0,491.0999999999999
2018-05-14,125.0,569.0,765.0,422.40000000000003
2018-05-15,73.0,516.0,628.0,417.70000000000005
2018-05-16,68.0,457.0,560.0,599.1
2018-05-17,136.0,454.0,663.0,563.1999999999999
2018-05-18,198.0,655.0,962.0,495.9
2018-05-19,407.0,947.0,1572.0,628.9000000000001
2018-05-20,341.0,842.0,1356.0,596.5000000000001
2018-05-21,443.0,1151.0,1827.0,826.1
2018-05-22,67.0,468.0,573.0,700.5999999999999
2018-05-23,58.0,382.5,469.5,657.1999999999998
2018-05-24,419.0,942.0,1583.0,761.8
2018-05-25,406.0,1102.0,1725.0,644.4
2018-05-26,68.0,599.0,702.0,960.1999999999998
2018-05-27,253.0,876.0,1265.0,822.8
2018-05-28,76.0,639.0,757.0,830.4999999999999
2018-05-29,65.0,544.0,641.0,548.1999999999999
2018-05-30,319.0,927.0,1419.0,583.3
2018-05-31,245.0,998.0,1372.0,824.4999999999999
2018-06-01,699.0,1166.0,2235.0,659.0
2018-06-02,634.0,1206.0,2175.0,462.3999999999999
2018-06-03,302.0,798.0,1258.0,446.90000000000003
2018-06-04,77.5,509.0,626.5,522.9000000000001
2018-06-05,69.0,366.0,472.0,504.10000000000014
2018-06-06,145.0,535.0,755.0,696.4
2018-06-07,151.0,593.0,820.0,595.1999999999999
2018-06-08,120.0,523.0,703.0,560.6000000000001
2018-06-09,117.0,519.0,702.0,506.40000000000003
2018-06-10,90.0,487.0,620.0,443.29999999999995
2018-06-11,163.0,654.0,907.0,486.09999999999997
2018-06-12,44.0,532.0,597.0,456.89999999999986
2018-06-13,784.0,1082.0,2282.0,434.8499999999999
2018-06-14,549.0,855.0,1693.0,515.9
2018-06-15,636.0,1214.0,2190.0,557.5
2018-06-16,600.0,918.0,1838.0,458.7
2018-06-17,505.0,736.0,1512.0,329.99999999999994
2018-06-18,759.0,922.0,2089.0,430.3999999999999
2018-06-19,885.0,830.5,2184.0,345.9
2018-06-20,871.0,742.0,2072.0,359.30000000000007
2018-06-21,58.0,298.0,385.0,370.6
2018-06-22,273.0,567.0,985.0,492.09999999999997
2018-06-23,349.0,746.0,1282.0,427.59999999999997
2018-06-24,175.0,721.0,983.0,533.0
2018-06-25,369.0,1069.0,1641.0,566.6
2018-06-26,237.0,806.0,1172.0,549.1
2018-06-27,197.0,599.0,902.0,604.7
2018-06-28,112.0,564.0,739.0,662.2
2018-06-29,131.0,546.0,749.0,563.2000000000002
2018-06-30,77.0,440.0,559.0,543.2
2018-07-01,45.0,627.0,696.0,633.4999999999999
2018-07-02,84.0,638.0,771.0,646.7
2018-07-03,132.0,583.0,789.0,574.7
2018-07-04,231.0,774.0,1129.0,590.9
2018-07-05,671.0,1428.0,2456.0,760.6
2018-07-06,289.0,1035.0,1483.0,734.1000000000001
2018-07-07,337.0,1159.0,1675.0,780.3000000000001
2018-07-08,61.0,662.0,754.0,484.9000000000001
2018-07-09,445.0,945.0,1627.0,550.7
2018-07-10,68.0,300.0,405.0,407.50000000000006
2018-07-11,48.0,361.0,433.0,448.8
2018-07-12,238.0,785.0,1142.0,598.4000000000001
2018-07-13,219.0,766.0,1104.0,565.6999999999999
2018-07-14,312.0,890.0,1366.0,461.49999999999994
2018-07-15,324.0,1055.0,1555.0,455.40000000000003
2018-07-16,661.0,1315.0,2327.0,538.8000000000001
2018-07-17,867.0,1063.0,2396.0,452.6
2018-07-18,738.0,1138.0,2267.0,409.8
2018-07-19,548.0,1113.0,1953.0,462.7
2018-07-20,549.0,1223.0,2064.0,484.20000000000005
2018-07-21,492.0,1396.0,2149.0,559.3
2018-07-22,472.0,1172.0,1895.0,425.7000000000001
2018-07-23,762.0,1210.0,2380.0,477.69999999999993
2018-07-24,752.5,1253.5,2405.5,527.9
2018-07-25,252.0,984.0,1373.0,599.0000000000001
2018-07-26,447.0,1322.0,2007.0,793.1
2018-07-27,765.0,1453.0,2625.0,648.8000000000001
2018-07-28,564.0,656.0,1522.0,434.00000000000006
2018-07-29,278.0,354.0,775.0,270.70000000000005
2018-07-30,668.0,612.0,1633.0,349.80000000000007
2018-07-31,820.0,921.0,2179.0,372.90000000000003
2018-08-01,785.0,994.0,2194.0,398.90000000000003
2018-08-02,709.0,1112.0,2200.0,410.2
2018-08-03,357.0,1011.0,1556.0,520.8
2018-08-04,77.0,456.0,576.0,339.29999999999995
2018-08-05,238.0,684.0,1047.0,390.4
2018-08-06,648.5,1363.0,2358.0,550.1999999999999
2018-08-07,710.0,1426.0,2508.0,538.6
2018-08-08,796.5,975.0,2199.5,377.00000000000006
2018-08-09,1072.0,1199.0,2844.0,366.6
2018-08-10,1009.0,980.0,2526.0,343.9
2018-08-11,737.0,912.0,2038.0,335.1
2018-08-12,442.0,656.0,1334.0,288.80000000000007
2018-08-13,935.0,1015.0,2444.0,420.79999999999995
2018-08-14,1117.0,1177.0,2890.0,404.79999999999995
2018-08-15,1216.0,1040.0,2904.0,384.80000000000007
2018-08-16,1277.0,1003.0,2965.0,366.6000000000001
2018-08-17,1632.0,1232.0,3734.0,423.29999999999995
2018-08-18,918.0,864.0,2271.0,385.79999999999995
2018-08-19,518.0,645.0,1435.0,331.2
2018-08-20,984.0,1023.0,2536.0,333.59999999999997
2018-08-21,761.0,994.0,2165.0,312.8999999999999
2018-08-22,987.0,1005.0,2519.0,395.1
2018-08-23,801.0,916.0,2144.0,345.79999999999995
2018-08-24,1153.0,1116.0,2890.0,378.79999999999995
2018-08-25,765.0,925.0,2100.0,334.3
2018-08-26,478.0,661.0,1392.0,281.0
2018-08-27,661.0,805.0,1818.0,290.90000000000003
2018-08-28,972.0,1140.0,2625.0,340.2
2018-08-29,370.0,889.0,1460.0,739.6000000000001
2018-08-30,181.0,684.0,956.0,429.6
2018-08-31,600.0,1063.0,1982.0,544.3000000000001
2018-09-01,751.0,1212.0,2365.0,527.9
2018-09-02,457.0,1124.0,1825.0,570.4000000000001
2018-09-03,828.0,1315.0,2583.0,665.9000000000001
2018-09-04,86.0,657.0,783.0,492.30000000000007
2018-09-05,49.0,554.0,635.0,424.2
2018-09-06,653.5,981.5,1989.0,448.20000000000005
2018-09-07,1408.0,1362.0,3517.0,382.5
2018-09-08,812.0,1084.0,2330.0,325.1000000000001
2018-09-09,504.0,921.0,1692.0,341.4
2018-09-10,916.0,1007.0,2412.0,436.20000000000005
2018-09-11,680.0,763.0,1802.0,363.8
2018-09-12,344.0,731.0,1259.0,276.5
2018-09-13,2380.0,1718.0,5370.0,686.8000000000002
2018-09-14,1331.0,1398.0,3442.0,566.1
2018-09-15,1342.0,1327.0,3377.0,475.0999999999999
2018-09-16,563.0,905.0,1764.0,409.6
2018-09-17,598.0,994.0,1913.0,442.09999999999997
2018-09-18,598.0,824.0,1734.0,463.00000000000006
2018-09-19,517.0,657.0,1449.0,570.5999999999998
2018-09-20,468.0,602.0,1322.0,556.2
2018-09-21,1015.0,1043.0,2597.0,404.5
2018-09-22,771.0,1091.0,2271.0,394.30000000000007
2018-09-23,86.0,502.0,636.0,213.90000000000003
2018-09-24,1243.0,1121.0,3020.0,362.3
2018-09-25,1760.0,1406.0,4100.0,535.8000000000001
2018-09-26,2032.0,1908.0,5030.0,575.0
2018-09-27,2062.0,2041.0,5206.0,636.0
2018-09-28,49.0,493.0,568.0,421.90000000000003
2018-09-29,1404.0,1470.0,3623.0,599.4
2018-09-30,476.0,887.0,1620.0,418.2000000000001
2018-10-01,377.0,730.0,1305.0,324.3999999999999
2018-10-02,1073.0,1092.0,2740.0,395.2
2018-10-03,1485.0,1187.0,3462.0,400.8
2018-10-04,1403.0,1046.0,3198.0,488.3999999999999
2018-10-05,1577.0,1513.0,3933.0,764.5
2018-10-06,191.0,665.0,954.0,338.9999999999999
2018-10-07,605.0,846.0,1777.0,365.09999999999997
2018-10-08,1625.0,1401.0,3898.0,395.7
2018-10-09,1441.0,1418.5,3622.0,558.8
2018-10-10,943.0,1564.0,3004.0,1195.3000000000002
2018-10-11,444.0,678.0,1359.0,467.1
2018-10-12,372.0,521.0,1095.0,428.5
2018-10-13,326.0,531.0,1028.0,403.80000000000007
2018-10-14,52.0,416.0,498.0,172.09999999999997
2018-10-15,130.5,732.0,933.5,334.9
2018-10-16,1494.0,1074.0,3367.0,535.1999999999999
2018-10-17,1366.0,1361.0,3457.0,425.3
2018-10-18,273.0,791.0,1210.0,410.9
2018-10-19,1726.0,1428.0,4074.0,614.3000000000001
2018-10-20,2246.0,1510.0,4952.0,796.6999999999998
2018-10-21,1170.0,1247.0,3041.0,512.2
2018-10-22,638.0,835.0,1815.0,470.4000000000001
2018-10-23,1786.0,1411.0,4148.0,533.1999999999999
2018-10-24,1558.0,1259.0,3650.0,550.5
2018-10-25,1535.0,1308.0,3661.0,514.2
2018-10-26,933.0,1011.0,2439.0,303.0
2018-10-27,78.0,385.0,505.0,148.09999999999997
2018-10-28,64.0,394.0,491.0,143.3
2018-10-29,147.0,628.0,855.0,240.30000000000004
2018-10-30,1020.5,939.5,2501.0,368.6
2018-10-31,1375.0,1258.0,3367.0,487.5243243243243
2018-11-01,1393.0,1296.0,3437.0,489.2756756756757
2018-11-02,2860.0,1835.0,6223.0,779.3
2018-11-03,1356.867469879518,1545.5421686746988,3649.5180722891564,505.7
2018-11-04,1183.3734939759036,1365.1084337349398,3201.9036144578313,648.0000000000001
2018-11-05,1009.8795180722891,1184.6746987951806,2754.289156626506,1229.6
2018-11-06,836.3855421686745,1004.2409638554215,2306.6746987951806,659.8
2018-11-07,662.8915662650602,823.8072289156627,1859.060240963855,280.0
2018-11-08,489.39759036144574,643.3734939759036,1411.44578313253,484.9
2018-11-09,315.2048192771083,461.25301204819266,959.6084337349398,448.7
2018-11-10,738.0,958.0,2088.0,397.9
2018-11-11,478.0,763.0,1496.0,320.79999999999995
2018-11-12,915.0,1032.0,2435.0,348.00000000000006
2018-11-13,1217.0,1318.0,3188.0,498.29999999999995
2018-11-14,1338.0,1247.0,3298.0,554.1
2018-11-15,1309.0,1044.0,3048.0,664.2000000000002
2018-11-16,694.0,824.0,1893.0,435.9999999999999
2018-11-17,416.0,1021.0,1664.0,750.7
2018-11-18,191.0,893.0,1185.0,548.3999999999999
2018-11-19,123.0,612.0,801.0,319.5
2018-11-20,278.0,809.0,1238.0,423.99999999999994
2018-11-21,1371.0,1173.0,3271.0,593.5000000000001
2018-11-22,3844.0,1610.0,7508.0,1296.3999999999999
2018-11-23,1152.0,1220.0,2988.0,999.1999999999999
2018-11-24,401.0,994.0,1606.0,709.0
2018-11-25,127.0,631.0,828.0,504.8
2018-11-26,221.0,821.0,1156.0,535.3
2018-11-27,1191.0,1038.0,2863.0,425.09999999999997
2018-11-28,587.0,695.0,1593.0,278.49999999999994
2018-11-29,493.0,584.0,1342.0,341.80000000000007
2018-11-30,1163.0,1240.0,3024.0,559.2000000000002
2018-12-01,559.0,823.0,1681.0,306.49999999999994
2018-12-02,425.0,629.0,1278.0,222.80000000000004
2018-12-03,760.5,1016.0,2180.0,458.8000000000001
2018-12-04,2412.0,1760.0,5461.0,608.0
2018-12-05,835.0,1076.0,2359.0,346.30000000000007
2018-12-06,896.0,1116.0,2488.0,392.29999999999995
2018-12-07,952.0,1046.0,2505.0,409.1
2018-12-08,646.0,902.0,1886.0,463.9
2018-12-09,451.0,840.0,1532.0,288.79999999999995
2018-12-10,1668.0,1600.0,4163.0,545.4
2018-12-11,2622.0,1580.0,5600.0,808.8000000000001
2018-12-12,669.0,1060.0,2086.0,583.3
2018-12-13,815.0,1148.0,2398.0,653.5000000000001
2018-12-14,1566.0,1349.0,3751.0,829.9
2018-12-15,431.0,679.0,1342.0,518.0
2018-12-16,863.0,1190.0,2513.0,362.5
2018-12-17,1485.5,1384.0,3666.5,460.5999999999999
2018-12-18,461.0,588.0,1292.0,422.6
2018-12-19,783.0,1061.0,2264.0,284.30000000000007
2018-12-20,1000.0,1137.0,2669.0,424.8999999999999
2018-12-21,825.0,937.0,2198.0,514.1999999999999
2018-12-22,1075.0,1244.0,2894.0,524.8000000000002
2018-12-23,495.0,874.0,1634.0,251.00000000000003
2018-12-24,1714.0,1299.0,3926.0,563.8000000000001
2018-12-25,1123.0,1119.0,2841.0,489.3
2018-12-26,847.0,1008.0,2311.0,437.6
2018-12-27,3424.0,1545.0,6799.0,937.1999999999999
2018-12-28,2283.0,1545.0,5047.0,827.3000000000002
2018-12-29,993.0,1181.0,2704.0,444.7000000000001
2018-12-30,865.0,1157.0,2485.0,349.90000000000003
2018-12-31,840.0,1111.0,2398.0,385.19999999999993
2019-01-01,306.0,736.0,1203.0,405.69999999999993
2019-01-02,79.0,658.0,778.0,402.4000000000001
2019-01-03,176.0,934.0,1209.0,478.3999999999999
2019-01-04,633.0,1168.0,2136.0,764.5000000000001
2019-01-05,326.0,787.0,1280.0,538.2
2019-01-06,652.0,1252.0,2251.0,659.9999999999999
2019-01-07,1056.0,1286.0,2905.0,562.2
2019-01-08,272.0,710.5,1128.0,496.2
2019-01-09,124.0,703.0,893.0,345.8999999999999
2019-01-10,2179.0,1616.0,4960.0,924.0999999999999
2019-01-11,526.0,1130.0,1938.0,556.0
2019-01-12,912.0,1207.0,2607.0,390.7000000000001
2019-01-13,489.0,763.0,1514.0,361.5
2019-01-14,722.0,1042.0,2148.0,495.1
2019-01-15,1309.0,1372.0,3371.0,438.4
2019-01-16,783.0,976.0,2174.0,260.0
2019-01-17,487.0,920.0,1662.0,326.5
2019-01-18,1587.0,1396.0,3828.0,601.5
2019-01-19,499.0,878.0,1642.0,560.1999999999999
2019-01-20,692.0,1199.0,2259.0,667.2
2019-01-21,3188.0,1735.5,6621.5,1083.0000000000002
2019-01-22,1377.0,1586.0,3697.0,479.79999999999995
2019-01-23,375.0,952.0,1522.0,438.79999999999995
2019-01-24,3121.0,2080.0,6872.0,787.2
2019-01-25,2303.0,1798.0,5323.0,627.4
2019-01-26,621.0,896.0,1851.0,399.49999999999994
2019-01-27,410.0,665.0,1296.0,395.5
2019-01-28,753.0,1085.0,2240.0,510.59999999999997
2019-01-29,1602.0,1540.0,3996.0,555.5999999999999
2019-01-30,2688.0,1880.0,6002.0,643.2
2019-01-31,2109.0,1449.0,4681.0,692.9
2019-02-01,126.0,845.0,1039.0,365.49999999999994
2019-02-02,46.0,465.0,534.0,325.3
2019-02-03,931.0,1190.0,2613.0,579.4
2019-02-04,1134.0,1102.0,2842.0,322.30000000000007
2019-02-05,1108.0,1060.0,2757.0,353.19999999999993
2019-02-06,1317.0,1272.0,3302.0,425.8
2019-02-07,797.0,971.0,2196.0,428.6
2019-02-08,402.0,604.0,1221.0,348.40000000000003
2019-02-09,479.0,702.0,1438.0,450.4999999999999
2019-02-10,620.0,1047.0,1998.0,212.90000000000003
2019-02-11,954.0,1237.0,2701.0,383.4
2019-02-12,1661.0,1623.0,4172.0,583.7
2019-02-13,1119.0,1267.0,2986.0,623.5
2019-02-14,2244.0,1650.0,5089.0,899.4000000000002
2019-02-15,3070.0,1961.0,6671.0,1127.8999999999996
2019-02-16,1004.0,1403.0,2947.0,793.8000000000001
2019-02-17,571.0,1039.0,1913.0,808.0000000000001
2019-02-18,987.0,1342.0,2857.0,466.20000000000005
2019-02-19,1225.0,1409.0,3291.0,599.1
2019-02-20,795.0,1089.0,2304.0,484.59999999999997
2019-02-21,1126.0,1439.0,3162.0,666.2
2019-02-22,1199.0,1371.0,3211.0,852.8
2019-02-23,1156.0,1316.0,3093.0,871.3
2019-02-24,1528.0,1651.0,3992.0,1069.6
2019-02-25,2670.0,2092.0,6183.0,1423.0000000000002
2019-02-26,3313.5,2387.0,7469.5,1855.3
2019-02-27,3585.0,2391.0,7886.0,1635.9000000000003
2019-02-28,1415.0,1791.0,3957.0,793.8999999999997
2019-03-01,799.0,1227.0,2455.0,783.6999999999999
2019-03-02,678.0,915.0,1956.0,516.0
2019-03-03,256.0,555.0,948.0,277.79999999999995
2019-03-04,1043.0,1174.0,2775.0,324.79999999999995
2019-03-05,926.0,1159.0,2577.0,425.20000000000005
2019-03-06,481.5,675.5,1412.5,405.4500000000001
2019-03-07,756.0,986.0,2145.0,373.6
2019-03-08,1195.0,1263.0,3096.0,430.40000000000003
2019-03-09,641.0,1045.0,2025.0,605.3
2019-03-10,378.0,729.0,1311.0,302.5
2019-03-11,917.0,1123.0,2529.0,479.3999999999999
2019-03-12,705.0,913.0,1996.0,338.0000000000001
2019-03-13,881.0,1052.0,2409.0,524.2
2019-03-14,810.0,1103.0,2341.0,385.80000000000007
2019-03-15,835.0,924.0,2202.0,308.69999999999993
2019-03-16,368.0,541.0,1107.0,361.2000000000001
2019-03-17,727.0,1087.0,2203.0,257.3
2019-03-18,1572.0,1703.0,4117.0,522.9999999999999
2019-03-19,1280.0,1508.0,3471.0,508.8
2019-03-20,1054.0,1301.0,2918.0,437.49999999999994
2019-03-21,1125.0,1231.0,2955.0,472.0
2019-03-22,928.0,1121.0,2544.0,488.2999999999999
2019-03-23,246.0,850.0,1227.0,547.0
2019-03-24,463.0,1001.0,1713.0,528.1
2019-03-25,143.0,545.0,764.0,477.9
2019-03-26,1156.0,1490.0,3265.0,711.6
2019-03-27,582.0,1146.0,2039.0,511.29999999999995
2019-03-28,698.0,1314.0,2390.0,698.2999999999998
2019-03-29,1293.0,1557.0,3542.0,1050.1999999999998
2019-03-30,1074.0,1445.0,3088.0,1333.9999999999998
2019-03-31,66.0,457.0,558.0,783.6000000000001
2019-04-01,221.0,782.0,1122.0,659.4999999999999
2019-04-02,1303.0,1578.0,3576.0,681.4000000000001
2019-04-03,432.0,1050.0,1712.0,410.90000000000003
2019-04-04,460.0,717.0,1423.0,336.3
2019-04-05,258.0,736.0,1133.0,457.9
2019-04-06,47.0,535.0,601.0,454.40000000000003
2019-04-07,65.0,463.0,561.0,939.0999999999999
2019-04-08,616.0,1302.0,2247.0,1086.0
2019-04-09,74.0,693.0,809.0,898.1000000000001
2019-04-10,59.0,409.0,493.0,545.6000000000001
2019-04-11,171.0,683.0,946.0,436.0
2019-04-12,139.0,754.0,966.0,454.2000000000001
2019-04-13,133.0,701.0,908.0,434.2000000000001
2019-04-14,116.0,570.0,749.0,510.29999999999995
2019-04-15,259.0,1006.0,1408.0,1014.5000000000001
2019-04-16,688.0,1474.0,2529.0,1318.0000000000002
2019-04-17,398.0,1159.0,1769.0,1389.0000000000002
2019-04-18,300.0,1203.0,1665.0,1361.2000000000003
2019-04-19,273.0,1114.0,1534.0,1006.0
2019-04-20,198.0,988.0,1295.0,918.4
2019-04-21,193.0,1156.0,1448.0,1106.9
2019-04-22,114.0,1326.0,1499.0,1466.8999999999999
2019-04-23,357.0,1535.0,2085.0,1247.7
2019-04-24,411.0,951.0,1584.0,790.5999999999999
2019-04-25,413.0,628.0,1260.0,277.8
2019-04-26,589.0,789.0,1693.0,350.0
2019-04-27,595.0,806.0,1717.0,410.1999999999999
2019-04-28,88.0,361.5,496.0,238.69999999999996
2019-04-29,224.0,810.0,1154.0,470.3500000000001
2019-04-30,398.0,1069.0,1678.0,733.7
2019-05-01,767.0,1294.0,2472.0,695.7999999999998
2019-05-02,667.0,990.0,2010.0,598.3000000000002
2019-05-03,556.0,948.0,1802.0,447.8
2019-05-04,49.0,308.0,381.0,358.50000000000006
2019-05-05,182.0,570.0,852.0,473.5
2019-05-06,480.0,998.0,1733.0,375.59999999999997
2019-05-07,668.0,973.0,1993.0,500.00000000000006
2019-05-08,545.0,920.0,1754.0,451.2
2019-05-09,822.0,1076.0,2334.0,488.30000000000007
2019-05-10,939.0,1238.0,2680.0,475.40000000000003
2019-05-11,135.0,701.0,907.0,415.9000000000001
2019-05-12,376.0,815.0,1392.0,399.90000000000003
2019-05-13,212.0,855.0,1181.0,417.0
2019-05-14,177.0,773.0,1045.0,460.5
2019-05-15,228.0,850.0,1201.0,689.8000000000001
2019-05-16,128.0,677.0,875.0,636.3999999999999
2019-05-17,87.0,682.0,813.0,555.8000000000001
2019-05-18,290.0,905.0,1351.0,555.2000000000002
