MeasurementDateGMT,City of London - Beech Street: Nitric Oxide (ug/m3),City of London - Beech Street: Nitrogen Dioxide (ug/m3),City of London - Beech Street: Oxides of Nitrogen (ug/m3),City of London - Beech Street: PM10 Particulate (ug/m3)
2018-01-31,2442.899999999999,1965.3999999999999,5711.4,377.0
2018-02-01,2973.7999999999997,1913.2999999999997,6473.6,392.0
2018-02-02,2991.0000000000005,1704.8999999999999,6291.6,512.0
2018-02-03,1851.6,1817.6000000000001,4657.1,454.0
2018-02-04,589.4999999999999,1015.4000000000001,1919.5,374.0
2018-02-05,2025.8,1550.4999999999995,4657.099999999999,774.0
2018-02-06,5039.3,2204.4000000000005,9931.499999999998,888.0
2018-02-07,5197.7,2327.6,10297.2,749.0
2018-02-08,2790.9999999999995,2274.4999999999995,6553.900000000001,576.0
2018-02-09,2500.7000000000003,1799.8000000000002,5633.900000000001,377.0
2018-02-10,861.7,1466.4999999999998,2788.2,348.0
2018-02-11,691.2,1288.1,2348.0999999999995,221.0
2018-02-12,1895.9999999999998,1800.9,4707.7,441.0
2018-02-13,1704.8,1499.2999999999997,4113.7,299.0
2018-02-14,1977.6000000000001,1644.3999999999999,4676.9,359.0
2018-02-15,2730.2,2461.0,6646.699999999999,553.0
2018-02-16,3743.0,2643.2999999999997,8383.0,621.0
2018-02-17,2467.3,2679.5,6462.9,729.0
2018-02-18,902.3000000000002,1780.5,3163.7999999999997,471.0
2018-02-19,4057.3000000000006,2211.2000000000003,8432.1,522.0
2018-02-20,2215.8,1777.6000000000004,5174.8,387.0
2018-02-21,4523.7,2368.7999999999997,9304.999999999998,1386.0
2018-02-22,3101.1999999999994,2368.7,7123.7,872.0
2018-02-23,2654.4999999999995,2215.7,6286.1,759.0
2018-02-24,1432.6,1791.5,3987.900000000001,795.0
2018-02-25,553.2,1254.6999999999998,2102.9,695.0
2018-02-26,2267.7999999999997,1788.0000000000002,5265.7,1045.0
2018-02-27,6564.844,3074.1120000000005,13140.216,1344.2
2018-02-28,5222.355999999999,2315.288,10323.184,835.8
2018-03-01,1605.3000000000002,1331.1999999999998,3792.8999999999996,1027.0
2018-03-02,1584.3999999999999,1274.2,3703.7999999999993,1107.0
2018-03-03,1300.1,1242.0000000000002,3235.7,1565.0
2018-03-04,672.3999999999999,955.4999999999999,1986.3000000000002,604.0
2018-03-05,1691.1000000000001,1210.5000000000002,3803.2999999999993,495.0
2018-03-06,2663.0999999999995,1459.2000000000003,5541.999999999999,652.0
2018-03-07,2654.6,1403.8,5474.1,705.0
2018-03-08,977.4310344827586,925.5172413793102,2424.9241379310347,467.5
2018-03-09,1448.658620689655,1089.710344827586,3311.4344827586206,523.0
2018-03-10,1919.8862068965514,1253.9034482758618,4197.944827586207,573.0
2018-03-11,2391.1137931034486,1418.096551724138,5084.455172413795,693.0
2018-03-12,2862.3413793103446,1582.2896551724136,5970.965517241379,400.0
2018-03-13,3333.568965517241,1746.4827586206895,6857.475862068965,651.0
2018-03-14,3804.796551724138,1910.6758620689652,7743.986206896553,433.0
2018-03-15,4276.024137931035,2074.868965517241,8630.496551724136,323.0
2018-03-16,4747.251724137932,2239.062068965517,9517.006896551722,504.0
2018-03-17,5218.479310344827,2403.255172413793,10403.517241379312,497.0
2018-03-18,5689.706896551722,2567.4482758620684,11290.027586206897,667.0
2018-03-19,6160.934482758618,2731.6413793103447,12176.537931034483,1023.0
2018-03-20,6632.1620689655165,2895.8344827586207,13063.048275862075,1247.0
2018-03-21,7103.389655172414,3060.027586206896,13949.558620689657,1006.0
2018-03-22,5400.6051724137915,2862.2862068965514,11141.920689655173,716.0
2018-03-23,1852.0,1767.2999999999997,4607.5,587.0
2018-03-24,1574.2000000000003,1493.2,3906.6000000000004,889.0
2018-03-25,1051.5,1480.2999999999995,3092.599999999999,1193.0
2018-03-26,4450.899999999999,2467.7,9292.6,795.0
2018-03-27,3848.0,2159.6,8059.599999999999,497.0
2018-03-28,5106.5,2723.7000000000003,10553.7,420.0
2018-03-29,2785.7999999999997,2249.6,6520.9,338.0
2018-03-30,654.5999999999999,1239.1000000000001,2243.4,283.0
2018-03-31,699.5,1079.5,2152.0000000000005,221.0
2018-04-01,465.3,1029.0000000000002,1742.5999999999995,363.0
2018-04-02,258.0,806.9000000000001,1202.6000000000001,304.5
2018-04-03,985.2999999999998,1353.6,2865.0999999999995,361.0
2018-04-04,928.7,1382.1999999999998,2805.8999999999996,329.0
2018-04-05,2077.0000000000005,1714.7,4899.000000000001,315.0
2018-04-06,1403.1999999999998,1644.4,3795.9,442.0
2018-04-07,1340.0000000000002,1506.7000000000003,3561.7999999999997,608.0
2018-04-08,885.4999999999998,1500.9000000000003,2858.7999999999993,456.0
2018-04-09,2472.6,1883.6,5674.6,620.0
2018-04-10,2711.100000000001,2083.6000000000004,6240.499999999999,985.0
2018-04-11,3372.8999999999996,1850.2,7021.4,1493.0
2018-04-12,3500.6000000000004,1818.5999999999997,7186.099999999999,1276.0
2018-04-13,3734.8999999999996,2176.1000000000004,7902.799999999999,723.0
2018-04-14,1466.6000000000001,1929.8999999999999,4178.7,905.0
2018-04-15,571.8,1217.9999999999998,2094.6000000000004,681.0
2018-04-16,1340.3999999999996,1796.1000000000001,3851.7,566.0
2018-04-17,950.4999999999998,1482.6,2940.0999999999995,452.0
2018-04-18,3587.7,2540.2999999999997,8042.1,627.0
2018-04-19,5574.099999999999,3696.3999999999996,12243.399999999998,1370.0
2018-04-20,4143.900000000001,3127.8,9481.500000000002,1097.0
2018-04-21,1076.5,2116.1000000000004,3766.7000000000003,1171.0
2018-04-22,601.6999999999999,1612.1000000000001,2534.8999999999996,808.0
2018-04-23,1829.0999999999997,1707.7999999999997,4511.899999999999,472.0
2018-04-24,1870.8000000000004,1566.5000000000005,4435.2,409.0
2018-04-25,1787.1000000000001,1864.2000000000003,4604.800000000001,411.0
2018-04-26,1809.7,1887.7,4662.8,480.0
2018-04-27,3722.2999999999993,2361.3000000000006,8068.8,392.0
2018-04-28,2294.0,1971.9999999999998,5489.400000000001,431.0
2018-04-29,932.9,1317.1,2747.6,379.0
2018-04-30,1457.6,1410.0000000000002,3644.7999999999993,403.0
2018-05-01,2494.0,1934.3999999999999,5757.999999999999,449.0
2018-05-02,2160.7,1871.3000000000002,5184.399999999999,348.0
2018-05-03,4999.8,2794.4999999999995,10460.599999999997,687.0
2018-05-04,4175.800000000001,2736.2999999999997,9138.999999999998,763.0
2018-05-05,2008.9000000000003,2552.3,5632.7,498.0
2018-05-06,909.1999999999999,2280.2,3674.6000000000004,798.0
2018-05-07,664.8000000000001,2198.4,3218.0000000000005,922.0
2018-05-08,3556.999999999999,3049.3000000000006,8503.399999999998,1041.0
2018-05-09,3124.6999999999994,2324.5999999999995,7115.699999999999,667.0
2018-05-10,2814.400000000001,2328.0000000000005,6643.499999999999,503.0
2018-05-11,1433.3,1860.3,4058.2,507.0
2018-05-12,2109.7,2105.7000000000003,5340.3,448.0
2018-05-13,1134.3999999999999,1769.5999999999997,3509.3,579.0
2018-05-14,1428.1000000000001,1706.2999999999997,3895.8000000000006,561.5
2018-05-15,2422.7000000000007,2343.600000000001,6058.4000000000015,788.0
2018-05-16,1983.2000000000003,1759.5999999999997,4800.4,901.0
2018-05-17,2185.2,1966.2999999999997,5316.3,887.0
2018-05-18,3279.8000000000006,2378.4,7407.500000000001,832.0
2018-05-19,2493.1,2436.2,6259.000000000001,772.0
2018-05-20,864.4,1651.3999999999999,2976.7,676.0
2018-05-21,3803.2000000000007,2845.4,8676.5,1138.0
2018-05-22,2284.6000000000004,2249.0,5766.3,1051.0
2018-05-23,1616.8999999999999,1987.3000000000002,4466.199999999999,963.0
2018-05-24,3346.2,2471.7000000000003,7602.500000000001,1108.0
2018-05-25,3088.8,2554.6999999999994,7290.8,977.0
2018-05-26,337.3999999999999,1366.9999999999998,1884.2,1110.0
2018-05-27,372.6,1534.2,2105.6,927.0
2018-05-28,343.6,1375.6,1902.8000000000002,1032.0
2018-05-29,1574.6999999999998,1925.4999999999995,4339.900000000001,916.0
2018-05-30,3077.6,2302.7,7021.1,811.0
2018-05-31,1869.8,2359.9000000000005,5226.7,1084.0
2018-06-01,2499.4,2521.2999999999997,6353.400000000001,767.5205479452055
2018-06-02,1221.4,1930.5000000000002,3803.6,636.986301369863
2018-06-03,879.5999999999999,1847.6,3195.9000000000005,771.1232876712329
2018-06-04,1790.2,1903.6,4648.000000000001,791.3698630136986
2018-06-05,1860.3999999999999,1823.8000000000004,4676.4,746.0
2018-06-06,2973.9999999999995,2185.9,6746.000000000001,892.0
2018-06-07,3254.649999999999,2285.05,7275.4000000000015,888.0
2018-06-08,2418.7000000000003,2081.0000000000005,5790.0,785.0
2018-06-09,992.1999999999999,1659.9,3181.1,619.0
2018-06-10,287.1,1006.1999999999999,1446.3000000000004,539.0
2018-06-11,2181.1,1887.7,5231.700000000002,593.0
2018-06-12,2130.7,1782.3999999999999,5049.599999999999,716.0
2018-06-13,2106.2999999999997,1985.6999999999998,5215.3,569.0
2018-06-14,1487.3,1710.9000000000003,3991.3,642.0
2018-06-15,2038.8000000000002,2201.1,5327.399999999999,766.0
2018-06-16,347.40000000000003,991.1000000000001,1523.7,422.0
2018-06-17,247.6,791.8999999999999,1171.3999999999999,357.0
2018-06-18,801.6,1279.6000000000001,2508.8,504.0
2018-06-19,1559.2999999999997,1334.5999999999997,3725.0999999999995,455.0
2018-06-20,998.5000000000001,990.1,2521.2999999999997,465.0
2018-06-21,1429.2000000000003,1549.1,3740.2999999999997,548.0
2018-06-22,1674.9,1881.9999999999998,4450.4,659.0
2018-06-23,677.6999999999999,1479.6999999999996,2518.6000000000004,527.0
2018-06-24,442.0000000000001,1391.7,2069.4,554.0
2018-06-25,2105.2999999999997,3057.0000000000005,6285.400000000001,843.0
2018-06-26,2095.0999999999995,2403.2999999999997,5615.599999999999,659.0
2018-06-27,1332.8999999999996,1742.8,3786.8,644.0
2018-06-28,1428.3,1919.6999999999998,4109.9,789.0
2018-06-29,1183.5,1843.2,3657.6,746.0
2018-06-30,385.9,1281.9,1873.6000000000001,553.0
2018-07-01,180.1,1273.2,1549.4,632.0
2018-07-02,762.5999999999999,1786.0999999999997,2955.5,618.0
2018-07-03,843.7,1673.5,2967.4,514.0
2018-07-04,1765.2,2311.2999999999997,5017.499999999999,690.0
2018-07-05,2644.6000000000004,3118.5,7173.200000000002,1002.0
2018-07-06,1416.15,2819.2500000000005,4990.85,957.0
2018-07-07,589.9,1909.9,2814.1000000000004,848.0
2018-07-08,294.6,1489.7000000000003,1941.0,572.0
2018-07-09,1865.6,2271.2999999999997,5132.399999999999,713.0
2018-07-10,1248.5,1445.6999999999998,3359.7,558.0
2018-07-11,1640.0000000000002,1765.0,4279.4,735.0
2018-07-12,1753.5,2177.4,4865.8,768.0
2018-07-13,1549.3000000000002,2177.2999999999997,4552.799999999999,675.0
2018-07-14,689.5,1912.2,2969.2999999999997,575.0
2018-07-15,379.8999999999999,1779.4,2361.7999999999997,499.0
2018-07-16,1826.3000000000004,2494.3000000000006,5294.200000000001,651.0
2018-07-17,1424.3000000000002,1684.3999999999999,3867.8999999999996,472.0
2018-07-18,2731.5999999999995,2584.8999999999996,6773.300000000001,621.0
2018-07-19,1925.6,2365.4000000000005,5317.9,550.0
2018-07-20,1161.4,1968.8000000000004,3748.999999999999,539.0
2018-07-21,913.3999999999999,2295.2,3695.799999999999,743.0
2018-07-22,525.6999999999999,1630.1000000000004,2436.4,535.0
2018-07-23,1736.8,2073.2000000000003,4735.800000000001,567.0
2018-07-24,1631.6000000000001,2114.7999999999997,4616.0,642.0
2018-07-25,2547.0,2644.6999999999994,6549.799999999999,812.0
2018-07-26,1711.6000000000004,2585.2000000000003,5209.9,852.0
2018-07-27,1845.6999999999998,2523.2999999999993,5353.400000000001,779.0
2018-07-28,263.29999999999995,640.3,1043.8,506.0
2018-07-29,161.5,404.7,652.2,252.0
2018-07-30,921.5,972.7,2385.4000000000005,305.0
2018-07-31,1311.0,1522.7000000000005,3532.7,405.0
2018-08-01,1500.3,1743.8999999999996,4044.6,549.0
2018-08-02,1933.1999999999996,2258.1,5222.4,623.0
2018-08-03,1677.4999999999998,2220.35,4792.6,801.0
2018-08-04,473.9,1055.5,1782.0000000000002,470.0
2018-08-05,349.90000000000003,1128.0,1664.0,403.0
2018-08-06,1624.3999999999999,2421.8999999999996,4912.3,771.0
2018-08-07,1413.1,2320.4000000000005,4487.200000000001,676.0
2018-08-08,1115.1999999999998,1455.5000000000002,3165.4,444.0
2018-08-09,2483.100000000001,1700.1,5507.3,517.0
2018-08-10,1386.9,1404.5,3531.0,367.0
2018-08-11,821.6000000000001,1161.8999999999996,2421.6,368.0
2018-08-12,234.49999999999994,712.5999999999999,1072.3,308.0
2018-08-13,1513.8,1335.8999999999999,3657.7000000000003,504.0
2018-08-14,2282.0,1509.6,5009.1,479.0
2018-08-15,1235.8000000000002,1225.8000000000002,3120.3,445.0
2018-08-16,1638.4000000000003,1240.35,3752.65,403.0
2018-08-17,1734.7,1400.2,4060.0,485.0
2018-08-18,296.8,730.0,1184.8000000000002,396.0
2018-08-19,281.9,570.8999999999999,1002.7,338.0
2018-08-20,1686.3999999999996,1222.6,3808.3,438.0
2018-08-21,1384.2,1263.5000000000002,3385.9,390.0
2018-08-22,1472.3999999999999,1250.1,3508.1000000000004,487.2352941176471
2018-08-23,1342.1999999999998,1168.3,3226.000000000001,486.764705882353
2018-08-24,1163.8000000000002,1134.0,2918.2,422.0
2018-08-25,668.6,976.4999999999998,2001.3999999999999,308.0
2018-08-26,294.9,765.6999999999999,1217.8,285.0
2018-08-27,295.70000000000005,715.4,1168.8,355.0
2018-08-28,1033.5,1252.9000000000003,2837.3999999999996,341.0
2018-08-29,1397.1,1432.4000000000003,3574.4999999999995,455.0
2018-08-30,1871.0500000000002,1527.5000000000002,4396.55,725.0
2018-08-31,1414.5000000000002,1493.8000000000002,3662.8,601.0
2018-09-01,564.3000000000001,1117.4,1982.4,465.0
2018-09-02,370.9,1316.3,1885.2000000000005,558.0
2018-09-03,2014.0000000000002,2436.4000000000005,5524.999999999999,872.0
2018-09-04,1064.1000000000001,1514.0999999999997,3145.7999999999997,683.0
2018-09-05,569.0,1087.2,1959.4,565.0
2018-09-06,494.70000000000005,1036.8999999999999,1795.3000000000002,505.0
2018-09-07,404.30000000000007,1030.8,1650.3999999999999,317.0
2018-09-08,262.3,1031.2,1433.1,288.0
2018-09-09,106.0,745.3,907.9000000000001,323.0
2018-09-10,1186.128,1305.7440000000001,3125.428,646.0
2018-09-11,661.3720000000002,1009.6559999999998,2023.9719999999998,499.0
2018-09-12,1508.8714285714282,1125.2,3439.2000000000003,738.0
2018-09-13,1977.5785714285719,1752.6000000000001,4785.099999999999,833.5
2018-09-14,947.4499999999999,1336.6000000000001,2789.4,452.0
2018-09-15,631.1,1203.1000000000001,2170.7000000000003,489.0
2018-09-16,172.8,743.0000000000001,1008.2000000000002,410.0
2018-09-17,411.59999999999997,1014.4999999999999,1646.1,482.0
2018-09-18,402.59999999999997,843.5000000000001,1460.8999999999999,563.0
2018-09-19,367.40000000000003,755.8,1319.1,672.0
2018-09-20,385.9,748.0,1339.6000000000001,668.0
2018-09-21,683.1,1001.0999999999999,2048.7999999999997,461.0
2018-09-22,660.1999999999998,1042.5000000000002,2055.1,408.0
2018-09-23,183.0,510.7,791.5,267.0
2018-09-24,1617.3999999999999,1275.6,3755.600000000001,616.0
2018-09-25,2892.399999999999,1689.0000000000002,6123.1,802.0
2018-09-26,1624.4999999999998,2130.8999999999996,4621.9,707.0
2018-09-27,2850.5999999999995,2302.4,6672.5,868.0
2018-09-28,1272.8000000000002,1264.5,3216.1999999999994,701.0
2018-09-29,1639.5,1603.4999999999995,4117.5,743.0
2018-09-30,591.8000000000001,1008.8999999999999,1916.2999999999997,448.0
2018-10-01,1101.4,1056.8999999999999,2746.1,418.0
2018-10-02,1607.3,1245.3,3709.6000000000004,442.0
2018-10-03,3231.899999999999,1546.6,6502.3,592.0
2018-10-04,2448.4,1349.8999999999999,5104.000000000001,514.0
2018-10-05,3829.1000000000004,2255.6,8126.499999999999,783.0
2018-10-06,705.8,1029.9,2112.2999999999997,413.0
2018-10-07,975.1,1121.3999999999999,2616.4,386.0
2018-10-08,1388.4999999999998,1504.7,3633.9,392.0
2018-10-09,1566.9999999999998,1691.8,4094.9,458.0
2018-10-10,2789.1,2084.2,6360.500000000001,1186.0
2018-10-11,726.3999999999997,975.0000000000002,2089.1,488.0
2018-10-12,377.49999999999994,617.4000000000001,1196.1000000000001,424.0
2018-10-13,271.0,526.3,942.3000000000001,418.0
2018-10-14,355.29999999999995,726.4,1271.4999999999998,238.0
2018-10-15,2282.9,1399.7999999999997,4901.3,646.0
2018-10-16,1426.3,1325.5000000000002,3512.1000000000004,556.0
2018-10-17,3815.5000000000005,1938.8,7789.1,653.0
2018-10-18,1688.8999999999999,1462.3,4052.0,737.0
2018-10-19,2809.4,1982.4999999999998,6290.2,899.0
2018-10-20,3465.7,2133.5,7447.7,931.9230769230769
2018-10-21,946.2999999999998,1425.0,2875.6,693.2307692307694
2018-10-22,1867.6,1523.5000000000002,4387.3,508.8461538461538
2018-10-23,1845.9999999999998,1591.5000000000002,4422.400000000001,587.0
2018-10-24,2461.9,1612.6999999999998,5387.700000000001,624.0
2018-10-25,2564.7,1902.9,5835.200000000002,763.0
2018-10-26,1415.1,1553.3000000000002,3722.7000000000003,307.0
2018-10-27,572.4,976.6999999999998,1854.6000000000001,206.0
2018-10-28,417.5,969.1000000000001,1608.9,243.0
2018-10-29,1459.0,1425.6000000000004,3662.5,479.0
2018-10-30,1736.3999999999999,1326.1000000000001,3988.5,405.0
2018-10-31,3403.299999999999,1951.1000000000001,7169.299999999999,571.0
2018-11-01,3241.2,1895.9,6866.2,431.0
2018-11-02,3796.3,2399.8,8220.699999999999,666.0
2018-11-03,338.1,1053.2999999999997,1571.5,424.0
2018-11-04,510.90000000000003,951.1999999999999,1734.8999999999999,510.0
2018-11-05,4050.2000000000003,1660.3,7870.499999999998,1295.0
2018-11-06,1197.9,1178.3000000000002,3014.3,540.0
2018-11-07,1485.8999999999999,1303.8,3582.3,261.0
2018-11-08,912.85,1298.4,2698.5,433.0
2018-11-09,1006.4,1211.3999999999999,2754.4999999999995,427.0
2018-11-10,779.5999999999999,1254.7,2450.2000000000003,387.0
2018-11-11,295.4,920.9,1373.9999999999998,314.0
2018-11-12,1004.9,1374.6000000000001,2915.2000000000007,384.0
2018-11-13,1517.3,1708.0000000000005,4035.1,497.5
2018-11-14,1334.4,1396.6,3442.6,466.0
2018-11-15,2049.3,1400.8999999999999,4542.6,655.0
2018-11-16,2987.1000000000004,1320.2000000000003,5900.099999999999,552.0
2018-11-17,1372.3,1299.3000000000004,3403.4,733.0
2018-11-18,623.8000000000002,1130.1000000000001,2086.4000000000005,625.0
2018-11-19,1079.7,1137.6,2792.9999999999995,464.0
2018-11-20,2282.7,1398.8999999999999,4898.7,566.0
2018-11-21,3323.6000000000004,1586.8000000000004,6683.100000000001,646.0
2018-11-22,6029.0,1776.55,11020.649999999998,1711.0
2018-11-23,3827.1999999999994,1553.9999999999998,7422.300000000001,1241.0
2018-11-24,1130.5,1292.1,3025.7000000000007,803.0
2018-11-25,562.4,937.1000000000001,1799.1000000000004,582.0
2018-11-26,2106.3,1415.0,4644.699999999999,598.0
2018-11-27,2206.1,1452.7,4834.899999999999,443.0
2018-11-28,862.2999999999998,1261.1,2583.2999999999997,309.0
2018-11-29,894.1,1312.6999999999998,2683.7,369.0
2018-11-30,1649.0999999999997,1886.9,4415.5999999999985,495.0
2018-12-01,522.1,1194.1000000000001,1994.6000000000004,277.0
2018-12-02,268.5,939.6000000000001,1351.1999999999998,161.0
2018-12-03,1592.8000000000002,1702.8000000000002,4145.6,384.0
2018-12-04,4538.499999999999,2403.7,9362.7,541.0
2018-12-05,1903.2999999999997,1669.2,4586.900000000001,411.92
2018-12-06,1329.5000000000002,1803.3,3841.6000000000004,752.5440000000001
2018-12-07,1366.4,1694.4999999999998,3790.0999999999995,1042.848
2018-12-08,417.50000000000006,1101.3,1741.5,1333.1520000000003
2018-12-09,550.3,1122.9,1966.9999999999998,1623.4560000000001
2018-12-10,2755.8,2079.7999999999997,6304.9,1633.0800000000002
2018-12-11,3591.4999999999995,2102.5999999999995,7609.900000000001,797.0
2018-12-12,2289.1000000000004,1774.8000000000002,5284.499999999999,497.0
2018-12-13,3453.6,1854.2000000000003,7149.400000000001,532.0
2018-12-14,3293.1999999999994,1764.5,6813.599999999999,686.0
2018-12-15,943.5000000000001,1165.5,2612.2,440.0
2018-12-16,695.1000000000001,1377.8000000000002,2443.7,344.0
2018-12-17,1823.4999999999995,1770.1999999999998,4565.699999999998,443.0
2018-12-18,889.9,1136.6,2501.3000000000006,391.0
2018-12-19,1364.6,1668.8,3761.1999999999994,289.0
2018-12-20,1599.3,1809.3,4261.6,426.0
2018-12-21,818.3000000000001,1397.3999999999999,2652.4,521.0
2018-12-22,701.6999999999999,1451.1000000000001,2526.8,431.0
2018-12-23,393.49999999999994,1087.8999999999999,1691.3000000000002,221.0
2018-12-24,1231.4,1379.1000000000001,3267.7999999999997,529.0
2018-12-25,1616.6999999999994,1312.4999999999998,3790.999999999999,493.0
2018-12-26,326.8,1133.6,1634.8000000000002,390.0
2018-12-27,4778.2,1922.5000000000002,9248.899999999998,1089.0
2018-12-28,3535.6000000000004,1783.3,7204.7,826.0
2018-12-29,782.2,1304.3999999999999,2503.8999999999996,413.0
2018-12-30,563.6000000000001,1231.5,2095.8999999999996,311.0
2018-12-31,593.1,1137.3999999999999,2047.1,273.0
2019-01-01,294.20000000000005,918.2000000000002,1369.0999999999995,355.0
2019-01-02,912.3999999999999,1317.1999999999998,2716.3999999999996,536.0
2019-01-03,1367.1000000000001,1615.5000000000002,3711.8000000000006,612.0
2019-01-04,1773.2,1610.8,4330.200000000001,841.0
2019-01-05,679.8000000000001,1195.6000000000001,2237.9999999999995,587.0
2019-01-06,616.5999999999999,1387.4,2332.8,597.0
2019-01-07,1022.1000000000001,1617.7,3184.7,531.0
2019-01-08,1017.6,1246.9999999999998,2807.6000000000004,525.0
2019-01-09,1293.3999999999996,1423.6000000000001,3406.6,393.0
2019-01-10,4018.4,1990.2,8151.800000000001,989.0
2019-01-11,2727.8,1773.1999999999998,5955.700000000001,802.0
2019-01-12,622.8,1406.1000000000001,2360.9,360.0
2019-01-13,270.1,974.6999999999999,1388.8999999999999,309.0
2019-01-14,1343.8000000000002,1508.5000000000002,3568.0999999999995,500.0
2019-01-15,1226.9,1790.4999999999998,3671.3,404.0
2019-01-16,1079.0,1547.8,3202.399999999999,347.0
2019-01-17,1694.7,1706.2999999999997,4304.700000000001,367.0
2019-01-18,1509.9999999999998,1734.3000000000002,4049.5000000000005,498.0
2019-01-19,872.3,1240.8000000000002,2578.2000000000003,568.0
2019-01-20,1247.9,1530.1000000000004,3443.2000000000007,872.0
2019-01-21,3889.5000000000005,1983.3999999999999,7947.5999999999985,1212.0
2019-01-22,2750.3000000000006,2096.7,6314.299999999999,700.9999999999998
2019-01-23,2239.4,1710.1000000000001,5144.3,1118.5
2019-01-24,4608.65,2427.2,9494.049999999997,787.0
2019-01-25,2442.1,1987.8,5732.099999999999,523.0
2019-01-26,428.50000000000006,1276.1,1933.1999999999996,304.0
2019-01-27,228.69999999999996,699.8000000000001,1050.6999999999998,328.0
2019-01-28,1731.2,1653.2,4307.4,531.0
2019-01-29,1870.8,2018.1,4886.3,368.0
2019-01-30,3836.0,2342.6000000000004,8224.3,1210.0
2019-01-31,3569.0000000000005,2209.3,7681.200000000001,933.0
2019-02-01,1282.9,1516.6,3484.0999999999995,443.0
2019-02-02,421.70000000000005,988.8000000000001,1635.4,425.0
2019-02-03,739.6000000000001,1403.1,2536.7999999999997,499.0
2019-02-04,1816.6000000000001,1460.1000000000001,4245.9,337.0
2019-02-05,1233.4,1416.6,3307.8,328.0
2019-02-06,2115.9,1771.9999999999998,5016.1,412.0
2019-02-07,857.5999999999999,1429.6,2744.6000000000004,404.0
2019-02-08,517.9,1041.4,1835.3000000000004,364.0
2019-02-09,337.6,848.0,1366.1,449.0
2019-02-10,358.0,1071.6,1620.6,179.0
2019-02-11,2059.6,1891.6999999999998,5049.7,536.0
2019-02-12,2063.4000000000005,2067.0,5230.799999999999,543.0
2019-02-13,1957.8000000000002,1822.3999999999999,4824.2,581.0
2019-02-14,3676.75,2117.7,7755.950000000001,880.0
2019-02-15,3018.8999999999996,2168.1,6796.600000000002,995.0
2019-02-16,591.5,1429.3000000000002,2336.3999999999996,810.0
2019-02-17,415.70000000000005,1185.7999999999997,1823.3000000000002,807.0
2019-02-18,939.7000000000002,1530.9,2971.6999999999994,549.0
2019-02-19,993.7,1600.8000000000004,3124.1,591.5
2019-02-20,857.6,1453.3,2767.7999999999997,559.0
2019-02-21,1133.4,1670.8999999999999,3409.7,697.0
2019-02-22,3025.3999999999996,1979.9999999999998,6618.900000000001,1118.0
2019-02-23,1691.3999999999996,1493.7,4087.2000000000003,881.0
2019-02-24,1668.8,1818.8000000000002,4377.0,1088.0
2019-02-25,3614.7,2443.8999999999996,7986.000000000002,1635.0
2019-02-26,4261.15,2743.0,9276.599999999999,1856.5
2019-02-27,4235.9,3189.1999999999994,9684.599999999997,1772.0
2019-02-28,1282.1000000000001,2133.2999999999997,4098.9,844.0
2019-03-01,1810.3000000000002,1979.3000000000002,4755.300000000001,854.0
2019-03-02,155.40000000000003,827.4999999999999,1065.3,462.0
2019-03-03,72.7,597.0,708.2,330.0
